"scientificName","commonNameFr","commonNameEn","category"
"Adansonia digitata","","baobab","Ornamental"
"Adenium obesum","","desert rose","Ornamental"
"Adenophora liliifolia","","ladybells","Ornamental"
"Adiantum capillus-veneris","","maidenhair fern","Ornamental"
"Adiantum hispidulum","","rough maidenhair fern","Ornamental"
"Adiantum pedatum","","Northern maidenhair fern","Ornamental"
"Adiantum raddianum","","delta maidenhair fern","Ornamental"
"Adina rubella","","Chinese buttonbush","Ornamental"
"Adonidia merrillii","","Manila palm","Ornamental"
"Aechmea fasciata","","urn plant","Ornamental"
"Aeonium undulatum","","stalked aeonium","Ornamental"
"Aeschynanthus radicans","","lipstick plant","Ornamental"
"Aesculus californica","","California buckeye","Ornamental"
"Aesculus carnea","","red horse chestnut","Ornamental"
"Aesculus chinensis","","Chinese horse chestnut","Ornamental"
"Aesculus flava","","yellow buckeye","Ornamental"
"Aesculus glabra","","Ohio buckeye","Ornamental"
"Aesculus hippocastanum","","horse chestnut","Ornamental"
"Aesculus parviflora","","bottlebrush buckeye","Ornamental"
"Aesculus pavia","","red buckeye","Ornamental"
"Aesculus sylvatica","","painted buckeye","Ornamental"
"Aesculus woerlitzensis","","buckeye","Ornamental"
"Afrocarpus gracilior","","African fern pine","Ornamental"
"Agalinis tenuifolia","","slenderleaf false foxglove","Ornamental"
"Agapanthus africanus","","African lily","Ornamental"
"Agapanthus (group)","","lily of the Nile","Ornamental"
"Agastache cana","","hummingbird's mint","Herb"
"Agastache foeniculum","","anise hyssop","Ornamental"
"Agastache KUDOS RED","","dwarf hybrid hyssop","Ornamental"
"Agastache nepetoides","","yellow giant hyssop","Ornamental"
"Agastache rupestris","","threadleaf giant hyssop","Ornamental"
"Agastache SUMMER GLOW","","giant hyssop","Ornamental"
"Agave americana","","American century plant","Ornamental"
"Agave attenuata","","century plant","Ornamental"
"Agave desmetiana","","spineless jade agave","Ornamental"
"Agave geminiflora RASTA MAN","","agave","Ornamental"
"Agave havardiana","","century plant","Ornamental"
"Agave ovatifolia","","whale's tongue agave","Ornamental"
"Agave parryi","","Parry's agave","Ornamental"
